Statistic Label,Month,NACE Group,UNIT,VALUE
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 May,Department stores (4719),%,-8.4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 May,Retail sale of automotive fuel (4730),%,-1.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 May,"Retail sale of hardware, paints and glass (4752)",%,2.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 May,Retail sale of furniture and lighting (4759),%,0.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 May,Bars (5630),%,0.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 May,All retail businesses,%,0.9
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 May,"Motor trades and automotive fuel (45,4730)",%,0.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 May,"All retail businesses, excluding motor trades and bars",%,0.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 May,"All retail businesses, excluding motor trades",%,1.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 May,"All retail businesses, excluding motor trades, automotive fuel and bars",%,0.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 May,"Retail sale of food (4711,4721 to 4729)",%,-0.9
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 May,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",%,1.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 May,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",%,-2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 May,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",%,4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 May,"Retail sale of electrical goods (4741 to 4743,4754)",%,-0.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 May,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",%,4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 May,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",%,2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 May,"Other retail sales (4753,4763 to 4765,4776 to 4778)",%,2.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 May,"Retail sale of books, newspapers and stationery (4761,4762)",%,3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 May,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",%,8.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 June,Motor trades (45),%,0
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 June,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",%,0.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 June,Department stores (4719),%,-1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 June,Retail sale of automotive fuel (4730),%,1.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 June,"Retail sale of hardware, paints and glass (4752)",%,-3.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 June,Retail sale of furniture and lighting (4759),%,2.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 June,Bars (5630),%,-22
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 June,All retail businesses,%,0
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 June,"Motor trades and automotive fuel (45,4730)",%,1.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 June,"All retail businesses, excluding motor trades and bars",%,1.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 June,"All retail businesses, excluding motor trades",%,1.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 June,"All retail businesses, excluding motor trades, automotive fuel and bars",%,1.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 June,"Retail sale of food (4711,4721 to 4729)",%,0.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 June,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",%,0.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 June,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",%,-0.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 June,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",%,-5.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 June,"Retail sale of electrical goods (4741 to 4743,4754)",%,-9.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 June,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",%,0.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 June,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",%,2.8
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 June,"Other retail sales (4753,4763 to 4765,4776 to 4778)",%,5.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 June,"Retail sale of books, newspapers and stationery (4761,4762)",%,-6.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 June,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",%,5.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 July,Motor trades (45),%,3.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 July,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",%,1.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 July,Department stores (4719),%,-4.4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 July,Retail sale of automotive fuel (4730),%,-0.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 July,"Retail sale of hardware, paints and glass (4752)",%,-0.9
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 July,Retail sale of furniture and lighting (4759),%,-0.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 July,Bars (5630),%,22.8
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 July,All retail businesses,%,-2.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 July,"Motor trades and automotive fuel (45,4730)",%,-0.9
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 July,"All retail businesses, excluding motor trades and bars",%,-0.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 July,"All retail businesses, excluding motor trades",%,-0.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 July,"All retail businesses, excluding motor trades, automotive fuel and bars",%,-0.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 July,"Retail sale of food (4711,4721 to 4729)",%,1.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 July,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",%,-1.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 July,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",%,2.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 July,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",%,-2.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 July,"Retail sale of electrical goods (4741 to 4743,4754)",%,0.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 July,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",%,-2.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 July,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",%,-1.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 July,"Other retail sales (4753,4763 to 4765,4776 to 4778)",%,-1.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 July,"Retail sale of books, newspapers and stationery (4761,4762)",%,0.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 July,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",%,0.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 August,Motor trades (45),%,1.9
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 August,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",%,0
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 August,Department stores (4719),%,-5.9
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 August,Retail sale of automotive fuel (4730),%,1.8
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 August,"Retail sale of hardware, paints and glass (4752)",%,1.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 August,Retail sale of furniture and lighting (4759),%,-5.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 August,Bars (5630),%,2.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 August,All retail businesses,%,1.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 August,"Motor trades and automotive fuel (45,4730)",%,4.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 August,"All retail businesses, excluding motor trades and bars",%,-0.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 August,"All retail businesses, excluding motor trades",%,-1.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 August,"All retail businesses, excluding motor trades, automotive fuel and bars",%,-1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 August,"Retail sale of food (4711,4721 to 4729)",%,0.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 August,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",%,-0.8
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 August,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",%,2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 August,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",%,0.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 August,"Retail sale of electrical goods (4741 to 4743,4754)",%,2.8
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 August,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",%,0.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 August,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",%,-3.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 August,"Other retail sales (4753,4763 to 4765,4776 to 4778)",%,-2.9
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 August,"Retail sale of books, newspapers and stationery (4761,4762)",%,-1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 August,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",%,-4.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 September,Motor trades (45),%,9
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 September,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",%,-2.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 September,Department stores (4719),%,4.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 September,Retail sale of automotive fuel (4730),%,2.4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 September,"Retail sale of hardware, paints and glass (4752)",%,-0.4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 September,Retail sale of furniture and lighting (4759),%,4.4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 September,Bars (5630),%,-0.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 September,All retail businesses,%,1.4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 September,"Motor trades and automotive fuel (45,4730)",%,5.8
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 September,"All retail businesses, excluding motor trades and bars",%,0.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 September,"All retail businesses, excluding motor trades",%,0.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 September,"All retail businesses, excluding motor trades, automotive fuel and bars",%,0.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 September,"Retail sale of food (4711,4721 to 4729)",%,-3.4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 September,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",%,0.4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 September,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",%,-6.9
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 September,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",%,-1.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 September,"Retail sale of electrical goods (4741 to 4743,4754)",%,-2.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 September,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",%,-3.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 September,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",%,3.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 September,"Other retail sales (4753,4763 to 4765,4776 to 4778)",%,4.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 September,"Retail sale of books, newspapers and stationery (4761,4762)",%,5.9
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 September,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",%,1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 October,Motor trades (45),%,-3.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 October,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",%,1.8
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 October,Department stores (4719),%,0.8
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 October,Retail sale of automotive fuel (4730),%,1.9
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 October,"Retail sale of hardware, paints and glass (4752)",%,-1.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 October,Retail sale of furniture and lighting (4759),%,-1.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 October,Bars (5630),%,2.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 October,All retail businesses,%,1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 October,"Motor trades and automotive fuel (45,4730)",%,-1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 October,"All retail businesses, excluding motor trades and bars",%,1.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 October,"All retail businesses, excluding motor trades",%,1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 October,"All retail businesses, excluding motor trades, automotive fuel and bars",%,1.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 October,"Retail sale of food (4711,4721 to 4729)",%,1.9
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 October,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",%,3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 October,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",%,-1.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 October,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",%,-1.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 October,"Retail sale of electrical goods (4741 to 4743,4754)",%,-1.4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 October,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",%,7.9
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 October,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",%,6.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 October,"Other retail sales (4753,4763 to 4765,4776 to 4778)",%,1.4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 October,"Retail sale of books, newspapers and stationery (4761,4762)",%,-4.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 October,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",%,2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 November,Motor trades (45),%,-2.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 November,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",%,0.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 November,Department stores (4719),%,0.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 November,Retail sale of automotive fuel (4730),%,-3.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 November,"Retail sale of hardware, paints and glass (4752)",%,4.4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 November,Retail sale of furniture and lighting (4759),%,2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 November,Bars (5630),%,2.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 November,All retail businesses,%,-0.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 November,"Motor trades and automotive fuel (45,4730)",%,-2.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 November,"All retail businesses, excluding motor trades and bars",%,-0.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 November,"All retail businesses, excluding motor trades",%,0.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 November,"All retail businesses, excluding motor trades, automotive fuel and bars",%,-0.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 November,"Retail sale of food (4711,4721 to 4729)",%,0.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 November,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",%,-2.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 November,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",%,5.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 November,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",%,4.9
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 November,"Retail sale of electrical goods (4741 to 4743,4754)",%,11.4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 November,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",%,1.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 November,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",%,-6.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 November,"Other retail sales (4753,4763 to 4765,4776 to 4778)",%,-4.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 November,"Retail sale of books, newspapers and stationery (4761,4762)",%,11.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 November,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",%,4.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 December,Motor trades (45),%,-3.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 December,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",%,0.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 December,Department stores (4719),%,-2.8
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 December,Retail sale of automotive fuel (4730),%,3.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 December,"Retail sale of hardware, paints and glass (4752)",%,-2.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 December,Retail sale of furniture and lighting (4759),%,1.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 December,Bars (5630),%,-3.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 December,All retail businesses,%,1.9
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 December,"Motor trades and automotive fuel (45,4730)",%,2.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 December,"All retail businesses, excluding motor trades and bars",%,1.4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 December,"All retail businesses, excluding motor trades",%,1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 December,"All retail businesses, excluding motor trades, automotive fuel and bars",%,1.4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 December,"Retail sale of food (4711,4721 to 4729)",%,-0.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 December,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",%,2.8
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 December,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",%,-6.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 December,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",%,-2.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 December,"Retail sale of electrical goods (4741 to 4743,4754)",%,-8.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 December,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",%,-2.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 December,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",%,6.9
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 December,"Other retail sales (4753,4763 to 4765,4776 to 4778)",%,5.9
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 December,"Retail sale of books, newspapers and stationery (4761,4762)",%,-1.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2022 December,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",%,3.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 January,Motor trades (45),%,3.9
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 January,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",%,-0.8
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 January,Department stores (4719),%,3.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 January,Retail sale of automotive fuel (4730),%,-0.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 January,"Retail sale of hardware, paints and glass (4752)",%,4.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 January,Retail sale of furniture and lighting (4759),%,10.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 January,Bars (5630),%,-3.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 January,All retail businesses,%,-3.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 January,"Motor trades and automotive fuel (45,4730)",%,-1.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 January,"All retail businesses, excluding motor trades and bars",%,-0.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 January,"All retail businesses, excluding motor trades",%,-0.9
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 January,"All retail businesses, excluding motor trades, automotive fuel and bars",%,-0.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 January,"Retail sale of food (4711,4721 to 4729)",%,0.8
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 January,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",%,-0.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 January,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",%,5.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 January,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",%,4.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 January,"Retail sale of electrical goods (4741 to 4743,4754)",%,-0.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 January,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",%,-2.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 January,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",%,0.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 January,"Other retail sales (4753,4763 to 4765,4776 to 4778)",%,1.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 January,"Retail sale of books, newspapers and stationery (4761,4762)",%,7.8
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 January,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",%,-7.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 February,Motor trades (45),%,1.8
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 February,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",%,-0.4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 February,Department stores (4719),%,5.8
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 February,Retail sale of automotive fuel (4730),%,-0.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 February,"Retail sale of hardware, paints and glass (4752)",%,-0.8
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 February,Retail sale of furniture and lighting (4759),%,-6.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 February,Bars (5630),%,6.9
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 February,All retail businesses,%,3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 February,"Motor trades and automotive fuel (45,4730)",%,1.4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 February,"All retail businesses, excluding motor trades and bars",%,0.8
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 February,"All retail businesses, excluding motor trades",%,0.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 February,"All retail businesses, excluding motor trades, automotive fuel and bars",%,0.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 February,"Retail sale of food (4711,4721 to 4729)",%,-1.4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 February,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",%,1.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 February,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",%,-0.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 February,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",%,0.8
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 February,"Retail sale of electrical goods (4741 to 4743,4754)",%,-3.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 February,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",%,-0.8
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 February,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",%,1.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 February,"Other retail sales (4753,4763 to 4765,4776 to 4778)",%,-0.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 February,"Retail sale of books, newspapers and stationery (4761,4762)",%,-9.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 February,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",%,1.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 March,Motor trades (45),%,6.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 March,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",%,0.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 March,Department stores (4719),%,-3.4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 March,Retail sale of automotive fuel (4730),%,-1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 March,"Retail sale of hardware, paints and glass (4752)",%,-2.4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 March,Retail sale of furniture and lighting (4759),%,3.8
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 March,Bars (5630),%,4.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 March,All retail businesses,%,1.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2023 March,"Motor trades and automotive fuel (45,4730)",%,8.2
